accident_index,accident_date,day_of_week,junction_control,junction_detail,accident_severity,light_conditions,local_authority,carriageway_hazards,number_of_casualties,number_of_vehicles,police_force,road_surface_conditions,road_type,speed_limit,urban_or_rural_area,weather_conditions,vehicle_type
BS0000250,2021-06-12 17:28:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000251,2021-06-12 19:03:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000252,2021-05-31 10:30:00,Sunday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000253,2021-06-08 14:45:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000254,2021-06-09 10:56:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000255,2021-06-16 18:45:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000256,2021-06-15 16:20:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000257,2021-06-14 12:35:00,Sunday,Give way or uncontrolled,Private drive or entrance,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000258,2021-06-09 16:50:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000259,2021-06-12 02:04:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000260,2021-06-15 11:00:00,Monday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000261,2021-06-09 12:00:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000262,2021-06-15 19:30:00,Monday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Bus or coach (17 or more pass seats)
BS0000263,2021-06-12 16:15:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000264,2021-06-11 18:45:00,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000265,2021-06-17 15:25:00,Wednesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000266,2021-06-19 13:35:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
BS0000267,2021-06-16 12:34:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000268,2021-06-18 08:01:00,Thursday,Auto traffic signal,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000269,2021-06-17 18:03:00,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000270,2021-06-19 13:11:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000271,2021-06-17 11:40:00,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000272,2021-06-20 12:43:00,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000273,2021-03-26 11:30:00,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000274,2021-08-14 07:25:00,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000275,2021-06-23 13:30:00,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000276,2021-06-26 15:40:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,One way street,30,Urban,Fine no high winds,Car
BS0000277,2021-06-28 22:50:00,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000278,2021-06-25 12:48:00,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000279,2021-06-25 19:30:00,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000280,2021-06-27 20:04:00,Saturday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000281,2021-06-21 19:25:00,Sunday,Auto traffic signal,Roundabout,Slight,Daylight,Hammersmith and Fulham,,1,2,Metropolitan Police,Dry,Roundabout,30,Urban,Fine no high winds,Car
BS0000282,2021-06-29 08:30:00,Monday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000283,2021-06-24 16:35:00,Wednesday,Give way or uncontrolled,Mini-roundabout,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000284,2021-06-27 15:32:00,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000285,2021-06-21 17:57:00,Sunday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000286,2021-06-29 09:20:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Other,Car
BS0000287,2021-06-23 18:30:00,Tuesday,Auto traffic signal,More than 4 arms (not roundabout),Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000288,2021-06-30 12:00:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000289,2021-06-30 11:37:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000290,2021-06-25 16:50:00,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000291,2021-06-23 16:08:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000292,2021-06-15 22:55:00,Monday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Westminster,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000293,2021-07-02 21:45:00,Thursday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000294,2021-07-03 07:37:00,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000295,2021-07-05 14:11:00,Sunday,Data missing or out of range,Not at junction or within 20 metres,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000296,2021-07-04 19:10:00,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000297,2021-07-03 20:00:00,Friday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000298,2021-07-03 08:42:00,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000299,2021-07-03 18:45:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000300,2021-07-02 23:00:00,Thursday,Data missing or out of range,Not at junction or within 20 metres,Serious,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000301,2021-07-01 20:40:00,Wednesday,Give way or uncontrolled,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000302,2021-06-27 09:30:00,Saturday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000303,2021-07-04 16:30:00,Saturday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000304,2021-06-24 08:45:00,Wednesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000305,2021-07-05 13:30:00,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000306,2021-06-24 15:40:00,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000307,2021-06-25 09:00:00,Thursday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000308,2021-06-27 19:05:00,Saturday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000309,2021-07-07 12:00:00,Tuesday,Give way or uncontrolled,Roundabout,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,Urban,Fine no high winds,Car
BS0000310,2021-07-10 08:34:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000311,2021-07-10 17:00:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000312,2021-07-08 13:18:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000313,2021-07-06 15:20:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000314,2021-07-10 15:36:00,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000315,2021-07-08 16:23:00,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000316,2021-07-11 11:50:00,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000317,2021-07-08 10:00:00,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000318,2021-07-04 08:51:00,Saturday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000319,2021-07-09 08:10:00,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,2,4,Metropolitan Police,Dry,Single carriageway,30,Urban,Other,Car
BS0000320,2021-07-10 10:09:00,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000321,2021-07-14 15:40:00,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000322,2021-07-14 18:30:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
BS0000323,2021-07-06 15:15:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,One way street,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000324,2021-07-13 15:30:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000325,2021-05-17 14:15:00,Sunday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000326,2021-07-14 09:12:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000327,2021-06-30 10:20:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000328,2021-07-03 05:15:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Westminster,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Other,Motorcycle 50cc and under
BS0000329,2021-07-16 09:00:00,Thursday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000330,2021-07-15 23:00:00,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000331,2021-07-15 16:35:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000332,2021-07-11 01:25:00,Saturday,Give way or uncontrolled,Mini-roundabout,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,Urban,Fine no high winds,Car
BS0000333,2021-07-20 16:12:00,Monday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000334,2021-07-09 17:10:00,Thursday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000335,2021-07-18 18:15:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000336,2021-07-20 20:05:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000337,2021-07-20 08:45:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000338,2021-07-19 11:58:00,Sunday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000339,2021-07-02 15:30:00,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000340,2021-07-16 18:25:00,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000341,2021-07-20 07:38:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000342,2021-07-23 17:08:00,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000343,2021-07-23 18:00:00,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000344,2021-07-13 19:30:00,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Dual carriageway,50,Urban,Fine no high winds,Car
BS0000345,2021-07-22 18:08:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000346,2021-07-22 17:50:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000347,2021-07-21 16:20:00,Tuesday,Give way or uncontrolled,Roundabout,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Roundabout,30,Urban,Raining no high winds,Motorcycle 50cc and under
BS0000348,2021-07-23 20:40:00,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000349,2021-07-05 19:20:00,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000350,2021-07-26 20:51:00,Sunday,Give way or uncontrolled,Crossroads,Serious,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000351,2021-07-25 17:25:00,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000352,2021-07-28 09:45:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000353,2021-07-21 07:12:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000354,2021-07-26 03:40:00,Sunday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000355,2021-07-28 09:14:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000356,2021-07-28 08:03:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000357,2021-06-05 18:54:00,Friday,Give way or uncontrolled,Roundabout,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,Urban,Fine no high winds,Car
BS0000358,2021-07-28 08:20:00,Tuesday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000359,2021-07-29 16:16:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000360,2021-08-02 10:00:00,Sunday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000361,2021-07-29 13:10:00,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000362,2021-07-27 22:00:00,Monday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000363,2021-07-29 07:52:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000364,2021-07-14 13:50:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000365,2021-07-29 18:00:00,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000366,2021-08-01 10:20:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000367,2021-07-29 12:35:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000368,2021-08-04 14:55:00,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000369,2021-08-05 07:25:00,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000370,2021-08-04 19:12:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle 50cc and under
BS0000371,2021-08-05 08:30:00,Wednesday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000372,2021-08-07 15:15:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000373,2021-08-06 20:20:00,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Motorcycle over 500cc
BS0000374,2021-08-09 16:00:00,Sunday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000375,2021-08-08 00:15:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000376,2021-07-31 13:35:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000377,2021-08-10 09:30:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
