accident_index,accident_date,day_of_week,junction_control,junction_detail,accident_severity,light_conditions,local_authority,carriageway_hazards,number_of_casualties,number_of_vehicles,police_force,road_surface_conditions,road_type,speed_limit,time,urban_or_rural_area,weather_conditions,vehicle_type
BS0000245,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:00,Urban,Fine no high winds,Car
BS0000246,,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:35,Urban,Fine no high winds,Car
BS0000247,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,9:05,Urban,Fine no high winds,Car
BS0000248,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Dual carriageway,30,8:55,Urban,Fine no high winds,Car
BS0000249,,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,9:25,Urban,Fine no high winds,Car
BS0000250,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,17:28,Urban,Fine no high winds,Car
BS0000251,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,19:03,Urban,Fine no high winds,Car
BS0000252,,Sunday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,10:30,Urban,Fine no high winds,Car
BS0000253,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,14:45,Urban,Fine no high winds,Car
BS0000254,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,10:56,Urban,Fine no high winds,Car
BS0000255,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,18:45,Urban,Fine no high winds,Car
BS0000256,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,16:20,Urban,Fine no high winds,Car
BS0000257,,Sunday,Give way or uncontrolled,Private drive or entrance,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,12:35,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000258,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,16:50,Urban,Fine no high winds,Car
BS0000259,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,2:04,Urban,Fine no high winds,Car
BS0000260,,Monday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,11:00,Urban,Fine no high winds,Car
BS0000261,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
BS0000262,,Monday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,19:30,Urban,Raining no high winds,Bus or coach (17 or more pass seats)
BS0000263,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,16:15,Urban,Fine no high winds,Car
BS0000264,,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,18:45,Urban,Fine no high winds,Car
BS0000265,,Wednesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,15:25,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000266,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,13:35,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
BS0000267,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,12:34,Urban,Fine no high winds,Car
BS0000268,,Thursday,Auto traffic signal,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:01,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000269,,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,18:03,Urban,Fine no high winds,Car
BS0000270,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,13:11,Urban,Fine no high winds,Car
BS0000271,,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,11:40,Urban,Fine no high winds,Car
BS0000272,,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,12:43,Urban,Fine no high winds,Car
BS0000273,,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,11:30,Urban,Fine no high winds,Car
BS0000274,,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,7:25,Urban,Fine no high winds,Car
BS0000275,,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,13:30,Urban,Fine no high winds,Car
BS0000276,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,One way street,30,15:40,Urban,Fine no high winds,Car
BS0000277,,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,22:50,Urban,Fine no high winds,Car
BS0000278,,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Single carriageway,30,12:48,Urban,Fine no high winds,Car
BS0000279,,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,19:30,Urban,Fine no high winds,Car
BS0000280,,Saturday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,20:04,Urban,Fine no high winds,Car
BS0000281,,Sunday,Auto traffic signal,Roundabout,Slight,Daylight,Hammersmith and Fulham,,1,2,Metropolitan Police,Dry,Roundabout,30,19:25,Urban,Fine no high winds,Car
BS0000282,,Monday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Dual carriageway,30,8:30,Urban,Fine no high winds,Car
BS0000283,,Wednesday,Give way or uncontrolled,Mini-roundabout,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,16:35,Urban,Fine no high winds,Car
BS0000284,,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,15:32,Urban,Fine no high winds,Car
BS0000285,,Sunday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,17:57,Urban,Fine no high winds,Car
BS0000286,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,9:20,Urban,Other,Car
BS0000287,,Tuesday,Auto traffic signal,More than 4 arms (not roundabout),Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,18:30,Urban,Fine no high winds,Car
BS0000288,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
BS0000289,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,11:37,Urban,Fine no high winds,Car
BS0000290,,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,16:50,Urban,Fine no high winds,Car
BS0000291,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,16:08,Urban,Fine no high winds,Motorcycle over 500cc
BS0000292,,Monday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Westminster,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,22:55,Urban,Raining no high winds,Car
BS0000293,,Thursday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,21:45,Urban,Fine no high winds,Car
BS0000294,,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,7:37,Urban,Fine no high winds,Car
BS0000295,,Sunday,Data missing or out of range,Not at junction or within 20 metres,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,14:11,Urban,Fine no high winds,Car
BS0000296,,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,19:10,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000297,,Friday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,20:00,Urban,Fine no high winds,Car
BS0000298,,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:42,Urban,Fine no high winds,Car
BS0000299,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,18:45,Urban,Fine no high winds,Car
BS0000300,,Thursday,Data missing or out of range,Not at junction or within 20 metres,Serious,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,23:00,Urban,Fine no high winds,Car
BS0000301,,Wednesday,Give way or uncontrolled,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,20:40,Urban,Fine no high winds,Car
BS0000302,,Saturday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,9:30,Urban,Fine no high winds,Car
BS0000303,,Saturday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,16:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000304,,Wednesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:45,Urban,Fine no high winds,Car
BS0000305,,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,13:30,Urban,Fine no high winds,Car
BS0000306,,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,15:40,Urban,Fine no high winds,Car
BS0000307,,Thursday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,9:00,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000308,,Saturday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,19:05,Urban,Raining no high winds,Car
BS0000309,,Tuesday,Give way or uncontrolled,Roundabout,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,12:00,Urban,Fine no high winds,Car
BS0000310,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:34,Urban,Fine no high winds,Car
BS0000311,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,17:00,Urban,Fine no high winds,Car
BS0000312,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,13:18,Urban,Fine no high winds,Car
BS0000313,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,15:20,Urban,Raining no high winds,Car
BS0000314,,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,15:36,Urban,Fine no high winds,Car
BS0000315,,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:23,Urban,Raining no high winds,Car
BS0000316,,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,11:50,Urban,Fine no high winds,Motorcycle over 500cc
BS0000317,,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
BS0000318,,Saturday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:51,Urban,Fine no high winds,Car
BS0000319,,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,2,4,Metropolitan Police,Dry,Single carriageway,30,8:10,Urban,Other,Car
BS0000320,,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,10:09,Urban,Fine no high winds,Car
BS0000321,,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,15:40,Urban,Fine no high winds,Car
BS0000322,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,18:30,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
BS0000323,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,One way street,30,15:15,Urban,Fine no high winds,Motorcycle over 500cc
BS0000324,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,15:30,Urban,Fine no high winds,Car
BS0000325,,Sunday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,14:15,Urban,Fine no high winds,Car
BS0000326,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,9:12,Urban,Fine no high winds,Car
BS0000327,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,10:20,Urban,Fine no high winds,Car
BS0000328,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Westminster,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,5:15,Urban,Other,Motorcycle 50cc and under
BS0000329,,Thursday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,9:00,Urban,Fine no high winds,Car
BS0000330,,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,23:00,Urban,Fine no high winds,Car
BS0000331,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,16:35,Urban,Fine no high winds,Car
BS0000332,,Saturday,Give way or uncontrolled,Mini-roundabout,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,1:25,Urban,Fine no high winds,Car
BS0000333,,Monday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,16:12,Urban,Fine no high winds,Car
BS0000334,,Thursday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,17:10,Urban,Fine no high winds,Car
BS0000335,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,18:15,Urban,Fine no high winds,Car
BS0000336,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,20:05,Urban,Fine no high winds,Car
BS0000337,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:45,Urban,Fine no high winds,Car
BS0000338,,Sunday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,11:58,Urban,Fine no high winds,Car
BS0000339,,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,15:30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000340,,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,18:25,Urban,Fine no high winds,Car
BS0000341,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,7:38,Urban,Fine no high winds,Motorcycle over 500cc
BS0000342,,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,17:08,Urban,Fine no high winds,Car
BS0000343,,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,18:00,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000344,,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Dual carriageway,50,19:30,Urban,Fine no high winds,Car
BS0000345,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,18:08,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000346,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,17:50,Urban,Fine no high winds,Car
BS0000347,,Tuesday,Give way or uncontrolled,Roundabout,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Roundabout,30,16:20,Urban,Raining no high winds,Motorcycle 50cc and under
BS0000348,,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,20:40,Urban,Fine no high winds,Car
BS0000349,,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,19:20,Urban,Fine no high winds,Motorcycle over 500cc
BS0000350,,Sunday,Give way or uncontrolled,Crossroads,Serious,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:51,Urban,Raining no high winds,Car
BS0000351,,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,17:25,Urban,Fine no high winds,Motorcycle over 500cc
BS0000352,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,9:45,Urban,Fine no high winds,Car
BS0000353,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,7:12,Urban,Fine no high winds,Motorcycle over 500cc
BS0000354,,Sunday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,3:40,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000355,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,9:14,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000356,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:03,Urban,Fine no high winds,Car
BS0000357,,Friday,Give way or uncontrolled,Roundabout,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,18:54,Urban,Fine no high winds,Car
BS0000358,,Tuesday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:20,Urban,Fine no high winds,Car
BS0000359,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:16,Urban,Fine no high winds,Car
BS0000360,,Sunday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
BS0000361,,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,13:10,Urban,Fine no high winds,Car
BS0000362,,Monday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Dual carriageway,30,22:00,Urban,Fine no high winds,Car
BS0000363,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,7:52,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000364,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,13:50,Urban,Fine no high winds,Car
BS0000365,,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,18:00,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000366,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,10:20,Urban,Fine no high winds,Car
BS0000367,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,12:35,Urban,Fine no high winds,Car
BS0000368,,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Dual carriageway,30,14:55,Urban,Fine no high winds,Car
BS0000369,,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,7:25,Urban,Fine no high winds,Car
BS0000370,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,19:12,Urban,Fine no high winds,Motorcycle 50cc and under
BS0000371,,Wednesday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Single carriageway,30,8:30,Urban,Fine no high winds,Car
BS0000372,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,15:15,Urban,Fine no high winds,Car
BS0000373,,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:20,Urban,Raining no high winds,Motorcycle over 500cc
BS0000374,,Sunday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,16:00,Urban,Fine no high winds,Car
BS0000375,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,0:15,Urban,Fine no high winds,Motorcycle over 500cc
BS0000376,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,13:35,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000377,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,9:30,Urban,Fine no high winds,Car
BS0000378,,Friday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,23:20,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000379,,Thursday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Single carriageway,30,9:06,Urban,Fine no high winds,Car
BS0000380,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,12:46,Urban,Fine no high winds,Car
BS0000381,,Friday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Dual carriageway,30,7:38,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000382,,Wednesday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,14:20,Urban,Fine no high winds,Car
